2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:24:59.614Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282197 -> 200 (rate-limit restante=105)
2026-09-11T13:25:01.612Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282248 -> 200 (rate-limit restante=104)
2026-09-11T13:25:03.617Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282298 -> 200 (rate-limit restante=103)
2026-09-11T13:25:05.634Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282348 -> 200 (rate-limit restante=102)
2026-09-11T13:25:07.635Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282398 -> 200 (rate-limit restante=101)
2026-09-11T13:25:09.659Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282448 -> 200 (rate-limit restante=100)
2026-09-11T13:25:11.620Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282498 -> 200 (rate-limit restante=99)
2026-09-11T13:25:13.640Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282548 -> 200 (rate-limit restante=98)
2026-09-11T13:25:15.628Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282598 -> 200 (rate-limit restante=97)
2026-09-11T13:25:17.634Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282648 -> 200 (rate-limit restante=96)
